alpha alow ahigh Ecut Elow Ehigh X2
-1.04 -1.33 -0.84 1.02 0.94 1.28 1.43
-1.31 -1.36 -1.30 2.10 2.06 2.27 0.94
-1.72 -1.86 -1.68 2.97 2.85 4.25 0.76
-1.40 -1.55 -1.35 2.43 2.32 3.16 2.23
-1.65 -1.82 -1.60 3.37 3.22 4.65 1.59
-2.00 -2.06 -1.98 4.24 4.11 5.22 1.49
-0.92 -1.08 -0.83 1.57 1.51 1.82 0.15
-1.18 -1.31 -1.13 3.23 3.10 3.91 1.15
-1.38 -1.51 -1.34 1.14 1.106 1.32 0.52
-1.28 -1.47 -1.21 4.05 3.81 5.57 0.80
-0.16 -0.88 +0.74 1.18 0.83 1.77 0.49
-1.66 -1.93 -1.58 2.52 2.33 4.50 0.93
-1.57 -1.66 -1.54 3.54 3.42 4.14 0.74
-1.34 -1.37 -1.33 4.33 4.27 4.63 2.32
-1.64 -2.24 -1.16 6.94 3.96 22.90 0.12
-1.22 -1.40 -1.16 2.88 2.74 3.95 1.13
-0.02 -0.76 +1.02 0.94 0.62 1.50 0.28
-1.46 -1.59 -1.41 3.340 3.173 4.19 1.27
-1.85 -1.99 -1.74 200 20 >1000 1.10
-2.02 -2.30 -1.85 191 76.5 325 0.38
-1.19 -1.62 -1.13 4.35 3.87 7.40 0.19
-1.18 -1.22 -1.17 2.60 2.56 2.77 1.54
-1.79 -1.99 -1.71 4.14 3.75 7.76 1.14
-1.56 -1.69 -1.51 4.11 3.86 5.38 0.53
-1.84 -1.87 -1.81 4.33 4.24 5.02 0.85
-1.18 -1.42 -1.08 2.08 1.98 2.75 0.88
-0.62 -1.18 -0.10 2.01 1.57 3.36 0.60
-1.38 -1.26 -1.36 4.69 4.55 5.44 0.43
-2.42 -2.58 -2.36 6.91 6.22 20.7 0.51
-2.07 -2.29 -1.81 197. 20 >1000 0.55
-1.37 -1.63 -1.27 5.22 4.80 8.67 0.50
-0.60 -0.78 -0.48 1.51 1.45 1.75 2.21
-1.45 -1.77 -1.31 2.70 2.54 4.05 1.47
-2.08 -2.46 -1.60 199 20 >1000 0.81
-2.02 -2.15 -1.98 3.44 3.27 5.50 0.85
-1.36 -1.64 -1.26 3.16 2.97 4.55 1.95
-1.56 -1.98 -0.56 7.40 1.48 >1000 1.80
-0.80 -1.39 -0.16 1.26 0.97 2.04 1.01
-1.35 -1.49 -1.30 1.41 1.37 1.64 1.52
-2.05 -2.21 -1.99 12.3 10.7 36.8 2.87
-1.98 -2.26 -1.67 7.40 3.70 58.5 0.30
-1.84 -1.95 -1.80 2.70 2.59 3.40 0.78
-2.63 -2.76 -2.47 93.5 18.7 860 1.23
-1.58 -1.74 -1.53 3.90 3.71 5.66 0.78
-2.58 -2.79 -2.49 5.19 4.57 17.9 0.61
-0.87 -1.29 -0.66 1.50 1.38 2.12 2.06
-1.82 -1.91 -1.79 3.20 3.07 4.25 1.69
-1.41 -1.93 -0.41 30.0 3.60 >1000 1.22
-1.42 -1.62 -1.34 1.50 1.44 1.94 1.68
-1.24 -1.34 -1.21 4.61 4.47 5.30 1.25
-1.33 -1.43 -1.30 3.50 3.40 4.20 0.49
-0.53 -1.33 +0.56 1.55 1.01 2.59 0.96
+0.79 -0.87 +2.79 0.92 0.48 4.60 1.64
-0.91 -0.98 -0.88 1.85 1.81 2.00 1.27
-1.61 -1.91 -1.52 2.26 2.10 4.16 1.00
-1.25 -1.31 -1.22 2.45 2.40 2.70 0.86
-2.31 -2.39 -2.28 17.5 16.1 39.2 5.32
-1.30 -1.36 -1.28 2.74 1.37 3.04 0.69
-0.75 -1.10 -0.54 1.89 1.70 2.57 1.05
-1.08 -1.16 -1.05 2.51 2.46 2.76 1.66
-1.10 -1.20 -1.07 2.86 2.80 3.32 0.89
